facility_id,facility_coid,facility_name,timezone,tz_utc_offset,tz_description,emr_mnem,emr_name,facility_status,facility_address1,facility_city,facility_state,facility_zip,company_name,division_mnem,division_name,network_meditech_network,cityConcat,addConcat,,
18000653,30555,Los Robles Hospital,pst,-8:00:00,Pacific Time Zone,MT56,Meditech 5.6,1,215 West Janss Rd,Thousand Oaks,CA,91360,HCA,H-FWD,Far West,CAC, Thousand Oaks,215 West Janss Rd Thousand Oaks,34.2067796,-118.8830898
18000956,8385,Regional Medical Center of San Jose,pst,-8:00:00,Pacific Time Zone,MT56,Meditech 5.6,1,225 North Jackson Ave,San Jose,CA,95116,HCA,H-FWD,Far West,CAA, San Jose,225 North Jackson Ave San Jose,37.3622057,-121.8489667
18000981,7150,Riverside Community Hospital,pst,-8:00:00,Pacific Time Zone,MT56,Meditech 5.6,1,4445 Magnolia Ave,Riverside,CA,92501,HCA,H-FWD,Far West,CAC, Riverside,4445 Magnolia Ave Riverside,33.9772213,-117.3815694
18000984,23013,Riverside Imaging Center,pst,-8:00:00,Pacific Time Zone,Unknown,Need to Identify,1,4000 14th Street Suite 109,Riverside,CA,92501,HCA,H-FWD,Far West,CAC, Riverside,4000 14th Street Suite 109 Riverside,33.9780762,-117.3829771
18001045,8967,Southern Hills Medical Center (Las Vegas),pst,-8:00:00,Pacific Time Zone,MT56,Meditech 5.6,1,9300 West Sunset Rd,Las Vegas,NV,89148,HCA,H-FWD,Far West,NVA, Las Vegas,9300 West Sunset Rd Las Vegas,36.0723796,-115.2949636
18001202,30504,West Hills Medical Center,pst,-8:00:00,Pacific Time Zone,MT56,Meditech 5.6,1,7300 Medical Center Dr,West Hills,CA,91307,HCA,H-FWD,Far West,CAC, West Hills,7300 Medical Center Dr West Hills,34.20296,-118.629088
18001122,32801,Sunrise Hospital and Medical Center,pst,-8:00:00,Pacific Time Zone,MT56,Meditech 5.6,1,3186 S Maryland Parkway,Las Vegas,NV,89109,HCA,H-FWD,Far West,NVA, Las Vegas,3186 S Maryland Parkway Las Vegas,36.1327154,-115.1358324
18001125,32819,Sunrise Mountain View Hospital,pst,-8:00:00,Pacific Time Zone,MT56,Meditech 5.6,1,3100 N Tenaya Way,Las Vegas,NV,89128,HCA,H-FWD,Far West,NVA, Las Vegas,3100 N Tenaya Way Las Vegas,36.21486,-115.2488442
18001143,39339,Texas Orthopedic Hospital,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,7401 South Main,Houston,TX,77030,HCA,H-GCD,Gulf Coast,TXA, Houston,7401 South Main Houston,29.6731289,-95.4123074
18001148,9309,Thomas Span - Clinic,cst,-6:00:00,Central Time Zone,Unknown,Need to Identify,1,1533 South Brownlee,Corpus Christi,TX,78404,HCA,H-GCD,Gulf Coast,*None, Corpus Christi,1533 South Brownlee Corpus Christi,27.7750586,-97.4049653
18001203,34327,HCA Houston Healthcare West,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,12141 Richmond Ave,Houston,TX,77082,HCA,H-GCD,Gulf Coast,TXA, Houston,12141 Richmond Ave Houston,29.7281608,-95.5938957
18001221,34319,Woman's Hospital of Texas,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,7600 Fannin,Houston,TX,77054,HCA,H-GCD,Gulf Coast,TXA, Houston,7600 Fannin Houston,29.6942265,-95.4017108
18001184,37358,Valley Regional Medical Center,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,100 A Alton Gloor Blvd,Brownsville,TX,78526,HCA,H-GCD,Gulf Coast,TXA, Brownsville,100 A Alton Gloor Blvd Brownsville,25.9780246,-97.5146344
18001154,26910,HCA Houston Healthcare Tomball,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,605 Holderrieth Blvd,Tomball,TX,77375,HCA,H-GCD,Gulf Coast,TXQ, Tomball,605 Holderrieth Blvd Tomball,30.0874048,-95.6236173
18000975,34321,Rio Grande Regional Hospital,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,101 E Ridge Rd,McAllen,TX,78503,HCA,H-GCD,Gulf Coast,TXA, McAllen,101 E Ridge Rd McAllen,26.186448,-98.2207185
18000890,26516,HCA Houston Healthcare Pearland,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,11100 Shadow Creek Parkway,Pearland,TX,77584,HCA,H-GCD,Gulf Coast,TXA, Pearland,11100 Shadow Creek Parkway Pearland,29.5775464,-95.3901924
18001274,26925,HCA Houston Healthcare Medical Center,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,1313 Hermann Drive,Houston,TX,77004,HCA,H-GCD,Gulf Coast,TXQ, Houston,1313 Hermann Drive Houston,29.72272,-95.3875428
18001276,26930,Plaza Specialty Hospital,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,1300 Binz Street,Houston,TX,77004,HCA,H-GCD,Gulf Coast,TXQ, Houston,1300 Binz Street Houston,29.7235349,-95.3869747
18001278,26920,HCA Houston Healthcare Northwest,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,710 Cypress Creek Parkway,Houston,TX,77090,HCA,H-GCD,Gulf Coast,TXQ, Houston,710 Cypress Creek Parkway Houston,30.0204601,-95.4425602
18001279,26915,HCA Houston Healthcare Cypress Fairbanks,cst,-6:00:00,Central Time Zone,Unknown,Need to Identify,1,10655 Steepletop Drive,Houston,TX,77065,HCA,H-GCD,Gulf Coast,TXQ, Houston,10655 Steepletop Drive Houston,29.9280405,-95.5889914
18001293,26985,HCA Houston Healthcare North Cypress,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,21214 NW Freeway,Cypress,TX,77429,HCA,H-GCD,Gulf Coast,TXQ, Cypress,21214 NW Freeway Cypress,29.9250095,-95.6306816
18000659,37333,HCA Houston Healthcare Mainland,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,6801 E.F. Lowry Expwy,Texas City,TX,77591,HCA,H-GCD,Gulf Coast,TXA, Texas City,6801 E.F. Lowry Expwy Texas City,29.3939725,-94.9858081
18000604,39233,HCA Houston Healthcare Kingwood,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,22999 Hwy 59 North,Kingwood,TX,77339,HCA,H-GCD,Gulf Coast,TXA, Kingwood,22999 Hwy 59 North Kingwood,30.0500599,-95.2552222
18000188,8298,Corpus Christi Medical Center,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,7105 S Padre Island Dr,Corpus Christi,TX,78412,HCA,H-GCD,Gulf Coast,TXA, Corpus Christi,7105 S Padre Island Dr Corpus Christi,27.6946341,-97.34467
18000332,38325,Division - Gulf Coast,cst,-6:00:00,Central Time Zone,Unknown,Need to Identify,1,"12610 West Airport Blvd
 
 Suite 150",Sugarland,TX,77478,HCA,H-GCD,Gulf Coast,*None, Sugarland,"12610 West Airport Blvd
 
 Suite 150 Sugarland",29.6481877,-95.6032539
18000182,38318,HCA Houston Healthcare Conroe,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,504 Medical Center Blvd,Conroe,TX,77304,HCA,H-GCD,Gulf Coast,TXA, Conroe,504 Medical Center Blvd Conroe,30.2849346,-95.4677877
18000135,34336,HCA Houston Healthcare Clear Lake,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,500 Medical Center Blvd,Webster,TX,77598,HCA,H-GCD,Gulf Coast,TXA, Webster,500 Medical Center Blvd Webster,29.5409984,-95.1280257
18000054,38340,HCA Houston Healthcare Southeast,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,4000 Spencer Hwy,Pasadena,TX,77504,HCA,H-GCD,Gulf Coast,TXA, Pasadena,4000 Spencer Hwy Pasadena,29.6612447,-95.183783
18000185,14203,Corporate Enterprise Site,cst,-6:00:00,Central Time Zone,Unknown,Need to Identify,1,2555 Park Plaza,Nashville,TN,37202,HCA,H-CORP,HCA Corp,*None, Nashville,2555 Park Plaza Nashville,36.1494741,-86.8195019
18000438,4446,General Hospital,cst,-6:00:00,Central Time Zone,MT56,Meditech 5.6,1,2555 Park Plaza,Nashville,TN,37203,HCA,H-CORP,HCA Corp,KYA, Nashville,2555 Park Plaza Nashville,36.1494741,-86.8195019
18001310,26249,HealthTrust,cst,-6:00:00,Central Time Zone,Unknown,Need to Identify,1,1100 Charlotte Ave Suite 1100,Nashville,TN,37203,HCA,H-CORP,HCA Corp,*None, Nashville,1100 Charlotte Ave Suite 1100 Nashville,36.1624315,-86.7915446
18001272,958,Physician Services Group - PSG,cst,-6:00:00,Central Time Zone,Unknown,Need to Identify,1,One Park Plaza,Nashville,TN,37202,HCA,H-CORP,HCA Corp,*None, Nashville,One Park Plaza Nashville,36.1508208,-86.8167909
18000196,8950,SSC - Dallas,cst,-6:00:00,Central Time Zone,Unknown,Need to Identify,1,10030 Macarthur Blvd,Irving,TX,75063,HCA,HSC,HSC,*None, Irving,10030 Macarthur Blvd Irving,32.9417977,-96.9509412
